Time	 Point1PX	 Point1PY	 Point1PZ	 Point1FX	 Point1FY	 Point1FZ	 Rod1NAPX	 Rod1NAPY	 Rod1NAPZ	 Rod1NBPX	 Rod1NBPY	 Rod1NBPZ	 
(s)	 (m)       	 (m)       	 (m)       	 (N)       	 (N)       	 (N)       	 (m)       	 (m)       	 (m)       	 (m)       	 (m)       	 (m)       	 
0.01001	 0	 0	 -0.00617978	 0	 0	 -5776.25	 -1	 0	 -1	 1	 0	 -1	 
0.02	 0	 0	 -1.97461	 0	 0	 5527.7	 -1	 0	 -1	 1	 0	 -1	 
0.03	 0	 0	 -0.056631	 0	 0	 -5136.82	 -1	 0	 -1	 1	 0	 -1	 
0.04	 0	 0	 -1.90121	 0	 0	 4626	 -1	 0	 -1	 1	 0	 -1	 
0.05001	 0	 0	 -0.149647	 0	 0	 -4041.88	 -1	 0	 -1	 1	 0	 -1	 
0.06001	 0	 0	 -1.78948	 0	 0	 3386.05	 -1	 0	 -1	 1	 0	 -1	 
0.07001	 0	 0	 -0.27907	 0	 0	 -2712.97	 -1	 0	 -1	 1	 0	 -1	 
0.08	 0	 0	 -1.64432	 0	 0	 2043.91	 -1	 0	 -1	 1	 0	 -1	 
0.09	 0	 0	 -0.434833	 0	 0	 -1455.04	 -1	 0	 -1	 1	 0	 -1	 
0.1	 0	 0	 -1.48298	 0	 0	 954.094	 -1	 0	 -1	 1	 0	 -1	 
0.11	 0	 0	 -0.601492	 0	 0	 -561.646	 -1	 0	 -1	 1	 0	 -1	 
0.12	 0	 0	 -1.31292	 0	 0	 281.713	 -1	 0	 -1	 1	 0	 -1	 
0.13	 0	 0	 -0.773442	 0	 0	 -110.606	 -1	 0	 -1	 1	 0	 -1	 
0.14	 0	 0	 -1.14005	 0	 0	 25.8367	 -1	 0	 -1	 1	 0	 -1	 
0.15	 0	 0	 -0.946632	 0	 0	 -1.8983	 -1	 0	 -1	 1	 0	 -1	 
0.16	 0	 0	 -0.966778	 0	 0	 -0.901738	 -1	 0	 -1	 1	 0	 -1	 
0.17	 0	 0	 -1.11991	 0	 0	 17.1272	 -1	 0	 -1	 1	 0	 -1	 
0.18	 0	 0	 -0.793556	 0	 0	 -87.3564	 -1	 0	 -1	 1	 0	 -1	 
0.19	 0	 0	 -1.29289	 0	 0	 238.712	 -1	 0	 -1	 1	 0	 -1	 
0.2	 0	 0	 -0.621323	 0	 0	 -496.018	 -1	 0	 -1	 1	 0	 -1	 
0.21	 0	 0	 -1.46351	 0	 0	 865.491	 -1	 0	 -1	 1	 0	 -1	 
0.22	 0	 0	 -0.45372	 0	 0	 -1345.89	 -1	 0	 -1	 1	 0	 -1	 
0.23	 0	 0	 -1.62629	 0	 0	 1918.83	 -1	 0	 -1	 1	 0	 -1	 
0.24	 0	 0	 -0.298099	 0	 0	 -2558.39	 -1	 0	 -1	 1	 0	 -1	 
0.25	 0	 0	 -1.77216	 0	 0	 3229.57	 -1	 0	 -1	 1	 0	 -1	 
0.26	 0	 0	 -0.164876	 0	 0	 -3892.86	 -1	 0	 -1	 1	 0	 -1	 
0.27	 0	 0	 -1.88987	 0	 0	 4510.27	 -1	 0	 -1	 1	 0	 -1	 
0.28	 0	 0	 -0.0655048	 0	 0	 -5042.23	 -1	 0	 -1	 1	 0	 -1	 
0.29001	 0	 0	 -1.96758	 0	 0	 5449.25	 -1	 0	 -1	 1	 0	 -1	 
0.30001	 0	 0	 -0.0103465	 0	 0	 -5728.27	 -1	 0	 -1	 1	 0	 -1	 
0.31001	 0	 0	 -1.99956	 0	 0	 5852.32	 -1	 0	 -1	 1	 0	 -1	 
0.32001	 0	 0	 -0.00364407	 0	 0	 -5809.48	 -1	 0	 -1	 1	 0	 -1	 
0.33001	 0	 0	 -1.9808	 0	 0	 5606.87	 -1	 0	 -1	 1	 0	 -1	 
0.34001	 0	 0	 -0.047334	 0	 0	 -5252.19	 -1	 0	 -1	 1	 0	 -1	 
0.35001	 0	 0	 -1.91336	 0	 0	 4770.72	 -1	 0	 -1	 1	 0	 -1	 
0.36001	 0	 0	 -0.136674	 0	 0	 -4187.94	 -1	 0	 -1	 1	 0	 -1	 
0.37001	 0	 0	 -1.80439	 0	 0	 3541.73	 -1	 0	 -1	 1	 0	 -1	 
0.38001	 0	 0	 -0.262562	 0	 0	 -2868.9	 -1	 0	 -1	 1	 0	 -1	 
0.39001	 0	 0	 -1.66442	 0	 0	 2210.12	 -1	 0	 -1	 1	 0	 -1	 
0.40001	 0	 0	 -0.413687	 0	 0	 -1602.36	 -1	 0	 -1	 1	 0	 -1	 
0.41001	 0	 0	 -1.50486	 0	 0	 1075.87	 -1	 0	 -1	 1	 0	 -1	 
0.42001	 0	 0	 -0.579148	 0	 0	 -653.984	 -1	 0	 -1	 1	 0	 -1	 
0.43001	 0	 0	 -1.33553	 0	 0	 344.247	 -1	 0	 -1	 1	 0	 -1	 
0.44001	 0	 0	 -0.75071	 0	 0	 -146.299	 -1	 0	 -1	 1	 0	 -1	 
0.45001	 0	 0	 -1.16283	 0	 0	 40.8402	 -1	 0	 -1	 1	 0	 -1	 
0.46001	 0	 0	 -0.923846	 0	 0	 -4.6653	 -1	 0	 -1	 1	 0	 -1	 
0.47001	 0	 0	 -0.989565	 0	 0	 -0.506532	 -1	 0	 -1	 1	 0	 -1	 
0.48001	 0	 0	 -1.09712	 0	 0	 8.97785	 -1	 0	 -1	 1	 0	 -1	 
0.49001	 0	 0	 -0.81632	 0	 0	 -62.2152	 -1	 0	 -1	 1	 0	 -1	 
0.50001	 0	 0	 -1.2702	 0	 0	 189.223	 -1	 0	 -1	 1	 0	 -1	 
0.51001	 0	 0	 -0.643826	 0	 0	 -417.694	 -1	 0	 -1	 1	 0	 -1	 
0.52001	 0	 0	 -1.44136	 0	 0	 757.073	 -1	 0	 -1	 1	 0	 -1	 
0.53001	 0	 0	 -0.475277	 0	 0	 -1209.74	 -1	 0	 -1	 1	 0	 -1	 
0.54001	 0	 0	 -1.60561	 0	 0	 1760.3	 -1	 0	 -1	 1	 0	 -1	 
0.55001	 0	 0	 -0.317536	 0	 0	 -2385.6	 -1	 0	 -1	 1	 0	 -1	 
0.56001	 0	 0	 -1.75433	 0	 0	 3052.07	 -1	 0	 -1	 1	 0	 -1	 
0.57001	 0	 0	 -0.18071	 0	 0	 -3721.22	 -1	 0	 -1	 1	 0	 -1	 
0.58001	 0	 0	 -1.8764	 0	 0	 4354.66	 -1	 0	 -1	 1	 0	 -1	 
0.59001	 0	 0	 -0.0762622	 0	 0	 -4912.13	 -1	 0	 -1	 1	 0	 -1	 
0.60001	 0	 0	 -1.96066	 0	 0	 5363.03	 -1	 0	 -1	 1	 0	 -1	 
0.61001	 0	 0	 -0.014426	 0	 0	 -5676.62	 -1	 0	 -1	 1	 0	 -1	 
0.62001	 0	 0	 -1.99843	 0	 0	 5838.29	 -1	 0	 -1	 1	 0	 -1	 
0.63001	 0	 0	 -0.00179426	 0	 0	 -5833.91	 -1	 0	 -1	 1	 0	 -1	 
0.64001	 0	 0	 -1.98558	 0	 0	 5668.34	 -1	 0	 -1	 1	 0	 -1	 
0.65	 0	 0	 -0.040706	 0	 0	 -5335.09	 -1	 0	 -1	 1	 0	 -1	 
0.66	 0	 0	 -1.92225	 0	 0	 4877.64	 -1	 0	 -1	 1	 0	 -1	 
0.67	 0	 0	 -0.125774	 0	 0	 -4312.37	 -1	 0	 -1	 1	 0	 -1	 
0.68	 0	 0	 -1.81705	 0	 0	 3676.27	 -1	 0	 -1	 1	 0	 -1	 
