Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	
0.01001	 1	 0	 -1	 0	 0	 -0.00617978	 
0.02	 1	 0	 -1	 0	 0	 -1.97461	 
0.03	 1	 0	 -1	 0	 0	 -0.056631	 
0.04	 1	 0	 -1	 0	 0	 -1.90121	 
0.05001	 1	 0	 -1	 0	 0	 -0.149647	 
0.06001	 1	 0	 -1	 0	 0	 -1.78948	 
0.07001	 1	 0	 -1	 0	 0	 -0.27907	 
0.08	 1	 0	 -1	 0	 0	 -1.64432	 
0.09	 1	 0	 -1	 0	 0	 -0.434833	 
0.1	 1	 0	 -1	 0	 0	 -1.48298	 
0.11	 1	 0	 -1	 0	 0	 -0.601492	 
0.12	 1	 0	 -1	 0	 0	 -1.31292	 
0.13	 1	 0	 -1	 0	 0	 -0.773442	 
0.14	 1	 0	 -1	 0	 0	 -1.14005	 
0.15	 1	 0	 -1	 0	 0	 -0.946632	 
0.16	 1	 0	 -1	 0	 0	 -0.966778	 
0.17	 1	 0	 -1	 0	 0	 -1.11991	 
0.18	 1	 0	 -1	 0	 0	 -0.793556	 
0.19	 1	 0	 -1	 0	 0	 -1.29289	 
0.2	 1	 0	 -1	 0	 0	 -0.621323	 
0.21	 1	 0	 -1	 0	 0	 -1.46351	 
0.22	 1	 0	 -1	 0	 0	 -0.45372	 
0.23	 1	 0	 -1	 0	 0	 -1.62629	 
0.24	 1	 0	 -1	 0	 0	 -0.298099	 
0.25	 1	 0	 -1	 0	 0	 -1.77216	 
0.26	 1	 0	 -1	 0	 0	 -0.164876	 
0.27	 1	 0	 -1	 0	 0	 -1.88987	 
0.28	 1	 0	 -1	 0	 0	 -0.0655048	 
0.29001	 1	 0	 -1	 0	 0	 -1.96758	 
0.30001	 1	 0	 -1	 0	 0	 -0.0103465	 
0.31001	 1	 0	 -1	 0	 0	 -1.99956	 
0.32001	 1	 0	 -1	 0	 0	 -0.00364407	 
0.33001	 1	 0	 -1	 0	 0	 -1.9808	 
0.34001	 1	 0	 -1	 0	 0	 -0.047334	 
0.35001	 1	 0	 -1	 0	 0	 -1.91336	 
0.36001	 1	 0	 -1	 0	 0	 -0.136674	 
0.37001	 1	 0	 -1	 0	 0	 -1.80439	 
0.38001	 1	 0	 -1	 0	 0	 -0.262562	 
0.39001	 1	 0	 -1	 0	 0	 -1.66442	 
0.40001	 1	 0	 -1	 0	 0	 -0.413687	 
0.41001	 1	 0	 -1	 0	 0	 -1.50486	 
0.42001	 1	 0	 -1	 0	 0	 -0.579148	 
0.43001	 1	 0	 -1	 0	 0	 -1.33553	 
0.44001	 1	 0	 -1	 0	 0	 -0.75071	 
0.45001	 1	 0	 -1	 0	 0	 -1.16283	 
0.46001	 1	 0	 -1	 0	 0	 -0.923846	 
0.47001	 1	 0	 -1	 0	 0	 -0.989565	 
0.48001	 1	 0	 -1	 0	 0	 -1.09712	 
0.49001	 1	 0	 -1	 0	 0	 -0.81632	 
0.50001	 1	 0	 -1	 0	 0	 -1.2702	 
0.51001	 1	 0	 -1	 0	 0	 -0.643826	 
0.52001	 1	 0	 -1	 0	 0	 -1.44136	 
0.53001	 1	 0	 -1	 0	 0	 -0.475277	 
0.54001	 1	 0	 -1	 0	 0	 -1.60561	 
0.55001	 1	 0	 -1	 0	 0	 -0.317536	 
0.56001	 1	 0	 -1	 0	 0	 -1.75433	 
0.57001	 1	 0	 -1	 0	 0	 -0.18071	 
0.58001	 1	 0	 -1	 0	 0	 -1.8764	 
0.59001	 1	 0	 -1	 0	 0	 -0.0762622	 
0.60001	 1	 0	 -1	 0	 0	 -1.96066	 
0.61001	 1	 0	 -1	 0	 0	 -0.014426	 
0.62001	 1	 0	 -1	 0	 0	 -1.99843	 
0.63001	 1	 0	 -1	 0	 0	 -0.00179426	 
0.64001	 1	 0	 -1	 0	 0	 -1.98558	 
0.65	 1	 0	 -1	 0	 0	 -0.040706	 
0.66	 1	 0	 -1	 0	 0	 -1.92225	 
0.67	 1	 0	 -1	 0	 0	 -0.125774	 
0.68	 1	 0	 -1	 0	 0	 -1.81705	 
0.69	 1	 0	 -1	 0	 0	 -0.248454	 
0.7	 1	 0	 -1	 0	 0	 -1.67969	 
0.71	 1	 0	 -1	 0	 0	 -0.397542	 
0.72	 1	 0	 -1	 0	 0	 -1.52163	 
0.73	 1	 0	 -1	 0	 0	 -0.561981	 
0.74	 1	 0	 -1	 0	 0	 -1.35293	 
0.75	 1	 0	 -1	 0	 0	 -0.733192	 
0.76	 1	 0	 -1	 0	 0	 -1.18039	 
0.77	 1	 0	 -1	 0	 0	 -0.906271	 
0.78	 1	 0	 -1	 0	 0	 -1.00714	 
0.79	 1	 0	 -1	 0	 0	 -1.07955	 
0.8	 1	 0	 -1	 0	 0	 -0.833886	 
0.81	 1	 0	 -1	 0	 0	 -1.25268	 
0.82	 1	 0	 -1	 0	 0	 -0.661228	 
0.83	 1	 0	 -1	 0	 0	 -1.42419	 
0.84	 1	 0	 -1	 0	 0	 -0.492031	 
0.85	 1	 0	 -1	 0	 0	 -1.58948	 
0.86	 1	 0	 -1	 0	 0	 -0.332778	 
