Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	
0.01001	 -1	 0	 -1	 1	 0	 -1	 
0.02	 -1	 0	 -1	 1	 0	 -1	 
0.03	 -1	 0	 -1	 1	 0	 -1	 
0.04	 -1	 0	 -1	 1	 0	 -1	 
0.05001	 -1	 0	 -1	 1	 0	 -1	 
0.06001	 -1	 0	 -1	 1	 0	 -1	 
0.07001	 -1	 0	 -1	 1	 0	 -1	 
0.08	 -1	 0	 -1	 1	 0	 -1	 
0.09	 -1	 0	 -1	 1	 0	 -1	 
0.1	 -1	 0	 -1	 1	 0	 -1	 
0.11	 -1	 0	 -1	 1	 0	 -1	 
0.12	 -1	 0	 -1	 1	 0	 -1	 
0.13	 -1	 0	 -1	 1	 0	 -1	 
0.14	 -1	 0	 -1	 1	 0	 -1	 
0.15	 -1	 0	 -1	 1	 0	 -1	 
0.16	 -1	 0	 -1	 1	 0	 -1	 
0.17	 -1	 0	 -1	 1	 0	 -1	 
0.18	 -1	 0	 -1	 1	 0	 -1	 
0.19	 -1	 0	 -1	 1	 0	 -1	 
0.2	 -1	 0	 -1	 1	 0	 -1	 
0.21	 -1	 0	 -1	 1	 0	 -1	 
0.22	 -1	 0	 -1	 1	 0	 -1	 
0.23	 -1	 0	 -1	 1	 0	 -1	 
0.24	 -1	 0	 -1	 1	 0	 -1	 
0.25	 -1	 0	 -1	 1	 0	 -1	 
0.26	 -1	 0	 -1	 1	 0	 -1	 
0.27	 -1	 0	 -1	 1	 0	 -1	 
0.28	 -1	 0	 -1	 1	 0	 -1	 
0.29001	 -1	 0	 -1	 1	 0	 -1	 
0.30001	 -1	 0	 -1	 1	 0	 -1	 
0.31001	 -1	 0	 -1	 1	 0	 -1	 
0.32001	 -1	 0	 -1	 1	 0	 -1	 
0.33001	 -1	 0	 -1	 1	 0	 -1	 
0.34001	 -1	 0	 -1	 1	 0	 -1	 
0.35001	 -1	 0	 -1	 1	 0	 -1	 
0.36001	 -1	 0	 -1	 1	 0	 -1	 
0.37001	 -1	 0	 -1	 1	 0	 -1	 
0.38001	 -1	 0	 -1	 1	 0	 -1	 
0.39001	 -1	 0	 -1	 1	 0	 -1	 
0.40001	 -1	 0	 -1	 1	 0	 -1	 
0.41001	 -1	 0	 -1	 1	 0	 -1	 
0.42001	 -1	 0	 -1	 1	 0	 -1	 
0.43001	 -1	 0	 -1	 1	 0	 -1	 
0.44001	 -1	 0	 -1	 1	 0	 -1	 
0.45001	 -1	 0	 -1	 1	 0	 -1	 
0.46001	 -1	 0	 -1	 1	 0	 -1	 
0.47001	 -1	 0	 -1	 1	 0	 -1	 
0.48001	 -1	 0	 -1	 1	 0	 -1	 
0.49001	 -1	 0	 -1	 1	 0	 -1	 
0.50001	 -1	 0	 -1	 1	 0	 -1	 
0.51001	 -1	 0	 -1	 1	 0	 -1	 
0.52001	 -1	 0	 -1	 1	 0	 -1	 
0.53001	 -1	 0	 -1	 1	 0	 -1	 
0.54001	 -1	 0	 -1	 1	 0	 -1	 
0.55001	 -1	 0	 -1	 1	 0	 -1	 
0.56001	 -1	 0	 -1	 1	 0	 -1	 
0.57001	 -1	 0	 -1	 1	 0	 -1	 
0.58001	 -1	 0	 -1	 1	 0	 -1	 
0.59001	 -1	 0	 -1	 1	 0	 -1	 
0.60001	 -1	 0	 -1	 1	 0	 -1	 
0.61001	 -1	 0	 -1	 1	 0	 -1	 
0.62001	 -1	 0	 -1	 1	 0	 -1	 
0.63001	 -1	 0	 -1	 1	 0	 -1	 
0.64001	 -1	 0	 -1	 1	 0	 -1	 
0.65	 -1	 0	 -1	 1	 0	 -1	 
0.66	 -1	 0	 -1	 1	 0	 -1	 
0.67	 -1	 0	 -1	 1	 0	 -1	 
0.68	 -1	 0	 -1	 1	 0	 -1	 
0.69	 -1	 0	 -1	 1	 0	 -1	 
0.7	 -1	 0	 -1	 1	 0	 -1	 
0.71	 -1	 0	 -1	 1	 0	 -1	 
0.72	 -1	 0	 -1	 1	 0	 -1	 
0.73	 -1	 0	 -1	 1	 0	 -1	 
0.74	 -1	 0	 -1	 1	 0	 -1	 
0.75	 -1	 0	 -1	 1	 0	 -1	 
0.76	 -1	 0	 -1	 1	 0	 -1	 
0.77	 -1	 0	 -1	 1	 0	 -1	 
0.78	 -1	 0	 -1	 1	 0	 -1	 
