      Time        POINT1PX        POINT1PY        POINT1PZ        POINT1FX        POINT1FY        POINT1FZ        ROD1NAPX        ROD1NAPY        ROD1NAPZ        ROD1NBPX        ROD1NBPY        ROD1NBPZ
       (s)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)
    0.0100   0.0000000E+00   0.0000000E+00  -9.7306603E-01   0.0000000E+00   0.0000000E+00  -1.7359995E+05  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.0200   0.0000000E+00   0.0000000E+00  -1.0040665E+00   0.0000000E+00   0.0000000E+00  -7.3649648E+03  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.0300   0.0000000E+00   0.0000000E+00  -9.8097694E-01   0.0000000E+00   0.0000000E+00  -6.9250172E+04  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.0400   0.0000000E+00   0.0000000E+00  -9.8305744E-01   0.0000000E+00   0.0000000E+00  -4.8585738E+04  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.0500   0.0000000E+00   0.0000000E+00  -9.8606998E-01   0.0000000E+00   0.0000000E+00  -2.7416814E+04  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.0600   0.0000000E+00   0.0000000E+00  -9.9775410E-01   0.0000000E+00   0.0000000E+00  -1.0172719E+03  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.0700   0.0000000E+00   0.0000000E+00  -1.0120409E+00   0.0000000E+00   0.0000000E+00   1.7248104E+04  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.0800   0.0000000E+00   0.0000000E+00  -1.0011504E+00   0.0000000E+00   0.0000000E+00   4.7374594E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.0900   0.0000000E+00   0.0000000E+00  -9.8967314E-01   0.0000000E+00   0.0000000E+00  -1.1162306E+04  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.1000   0.0000000E+00   0.0000000E+00  -1.0091320E+00   0.0000000E+00   0.0000000E+00   7.4162920E+03  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.1100   0.0000000E+00   0.0000000E+00  -9.9647290E-01   0.0000000E+00   0.0000000E+00  -2.1269330E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.1200   0.0000000E+00   0.0000000E+00  -9.9930388E-01   0.0000000E+00   0.0000000E+00  -2.5635995E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.1300   0.0000000E+00   0.0000000E+00  -1.0034119E+00   0.0000000E+00   0.0000000E+00   5.4601764E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.1400   0.0000000E+00   0.0000000E+00  -9.9512887E-01   0.0000000E+00   0.0000000E+00  -1.3341443E+03  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.1500   0.0000000E+00   0.0000000E+00  -1.0054140E+00   0.0000000E+00   0.0000000E+00   1.6727020E+03  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.1600   0.0000000E+00   0.0000000E+00  -9.9485159E-01   0.0000000E+00   0.0000000E+00  -1.5024052E+03  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.1700   0.0000000E+00   0.0000000E+00  -1.0043421E+00   0.0000000E+00   0.0000000E+00   8.8550543E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.1800   0.0000000E+00   0.0000000E+00  -9.9707180E-01   0.0000000E+00   0.0000000E+00  -3.7922653E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.1900   0.0000000E+00   0.0000000E+00  -1.0010759E+00   0.0000000E+00   0.0000000E+00   6.5967567E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.2000   0.0000000E+00   0.0000000E+00  -1.0011737E+00   0.0000000E+00   0.0000000E+00  -9.7723732E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.2100   0.0000000E+00   0.0000000E+00  -9.9629480E-01   0.0000000E+00   0.0000000E+00  -4.7563916E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.2200   0.0000000E+00   0.0000000E+00  -1.0062127E+00   0.0000000E+00   0.0000000E+00   2.3300310E+03  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.2300   0.0000000E+00   0.0000000E+00  -9.9296403E-01   0.0000000E+00   0.0000000E+00  -3.5175908E+03  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.2400   0.0000000E+00   0.0000000E+00  -1.0052066E+00   0.0000000E+00   0.0000000E+00   1.4159409E+03  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.2500   0.0000000E+00   0.0000000E+00  -9.9846536E-01   0.0000000E+00   0.0000000E+00  -1.2001047E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.2600   0.0000000E+00   0.0000000E+00  -9.9761558E-01   0.0000000E+00   0.0000000E+00  -1.2399586E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.2700   0.0000000E+00   0.0000000E+00  -1.0059531E+00   0.0000000E+00   0.0000000E+00   2.0589248E+03  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.2800   0.0000000E+00   0.0000000E+00  -9.9428010E-01   0.0000000E+00   0.0000000E+00  -1.9187577E+03  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.2900   0.0000000E+00   0.0000000E+00  -1.0018404E+00   0.0000000E+00   0.0000000E+00   6.5886993E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.3000   0.0000000E+00   0.0000000E+00  -1.0027318E+00   0.0000000E+00   0.0000000E+00   1.3462929E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.3100   0.0000000E+00   0.0000000E+00  -9.9403656E-01   0.0000000E+00   0.0000000E+00  -2.1531909E+03  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.3200   0.0000000E+00   0.0000000E+00  -1.0038289E+00   0.0000000E+00   0.0000000E+00   5.5391376E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.3300   0.0000000E+00   0.0000000E+00  -1.0010558E+00   0.0000000E+00   0.0000000E+00  -5.1851444E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.3400   0.0000000E+00   0.0000000E+00  -9.9469918E-01   0.0000000E+00   0.0000000E+00  -1.5160846E+03  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.3500   0.0000000E+00   0.0000000E+00  -1.0041567E+00   0.0000000E+00   0.0000000E+00   7.0393744E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.3600   0.0000000E+00   0.0000000E+00  -1.0009242E+00   0.0000000E+00   0.0000000E+00  -5.1025291E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    0.3700   0.0000000E+00   0.0000000E+00  -9.9477381E-01   0.0000000E+00   0.0000000E+00  -1.4573474E+03  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
