Time	 AnchTen1	 FairTen1	 
(s)	 (N)       	 (N)       	 
0.0001	 744.894	 635.779	 
0.0002	 839.614	 635.724	 
0.0003	 920.606	 635.453	 
0.0004	 992.005	 634.743	 
0.0005	 1056.37	 633.384	 
0.0006	 1115.35	 631.199	 
0.0007	 1170.07	 627.979	 
0.0008	 1221.32	 623.291	 
0.0009	 1269.68	 616.107	 
0.001	 1315.6	 604.206	 
0.0011	 1359.42	 583.374	 
0.0012	 1401.42	 546.446	 
0.0013	 1441.86	 482.331	 
0.0014	 1480.99	 375.107	 
0.0015	 1519.12	 203.323	 
0.0016	 1556.65	 60.4395	 
0.0017	 1594.12	 449.704	 
0.0018	 1632.33	 1003.93	 
0.0019	 1672.39	 1768.05	 
0.002	 1715.84	 2791.83	 
0.00211	 1770.05	 4282.29	 
0.00221	 1828.18	 6030.63	 
0.00231	 1898.42	 8215.45	 
0.00241	 1985.25	 10898.2	 
0.00251	 2094.13	 14140.9	 
0.00261	 2231.62	 18005.9	 
0.00271	 2405.43	 22555.5	 
0.00281	 2624.48	 27851.6	 
0.00291	 2898.96	 33955.7	 
0.00301	 3240.33	 40927.4	 
0.00311	 3661.36	 48824.6	 
0.00321	 4176.09	 57703.5	 
0.00331	 4799.84	 67620.7	 
0.00341	 5549.14	 78633.8	 
0.00351	 6441.73	 90800	 
0.00361	 7496.49	 104173	 
0.00371	 8733.4	 118803	 
0.00381	 10173.5	 134736	 
0.00391	 11838.8	 152028	 
0.00401	 13752.2	 170738	 
0.00411	 15937.5	 190933	 
0.00421	 18419.3	 212674	 
0.00431	 21223	 236002	 
0.00441	 24374.6	 260952	 
0.00451	 27901.1	 287570	 
0.00461	 31829.8	 315936	 
0.00471	 36188.5	 346159	 
0.00481	 41005.7	 378346	 
0.00491	 46310.3	 412561	 
0.00501	 52131.7	 448801	 
0.00511	 58500.1	 487042	 
0.00521	 65446.1	 527347	 
0.00531	 73000.6	 569921	 
0.00541	 81194.5	 615037	 
0.00551	 90058.7	 662909	 
0.00561	 99625	 713592	 
0.00571	 109926	 766917	 
0.00581	 120996	 822589	 
0.00591	 132869	 880638	 
0.00601	 145578	 941688	 
0.00611	 159158	 1.00659e+06	 
0.00621	 173639	 1.07592e+06	 
0.00631	 189056	 1.14968e+06	 
0.00641	 205446	 1.22725e+06	 
0.00651	 222849	 1.30754e+06	 
0.00661	 241305	 1.3896e+06	 
0.00671	 260855	 1.47477e+06	 
0.00681	 281534	 1.56628e+06	 
0.00691	 303373	 1.66639e+06	 
0.00701	 326405	 1.77521e+06	 
0.00711	 350670	 1.89087e+06	 
0.00721	 376221	 2.01033e+06	 
0.00731	 403118	 2.13022e+06	 
0.00741	 431419	 2.24789e+06	 
0.00751	 461170	 2.37044e+06	 
0.00761	 492398	 2.5119e+06	 
0.00771	 525116	 2.67655e+06	 
0.00781	 559356	 2.85912e+06	 
0.00791	 595183	 3.05014e+06	 
0.00801	 632702	 3.23999e+06	 
0.00811	 672028	 3.42099e+06	 
0.00821	 713259	 3.58795e+06	 
0.00831	 756444	 3.7484e+06	 
0.00841	 801559	 3.97467e+06	 
0.00851	 848543	 4.27892e+06	 
0.00861	 897402	 4.62321e+06	 
0.00871	 948283	 4.96889e+06	 
0.00881	 1.00145e+06	 5.2897e+06	 
0.00891	 1.05719e+06	 5.57194e+06	 
0.00901	 1.1157e+06	 5.81117e+06	 
0.00911	 1.17702e+06	 6.00864e+06	 
0.00921	 1.24097e+06	 6.24445e+06	 
0.00931	 1.30723e+06	 6.9097e+06	 
0.00941	 1.37559e+06	 7.70733e+06	 
0.00951	 1.44637e+06	 8.44003e+06	 
0.00961	 1.52036e+06	 9.04229e+06	 
0.00971	 1.59842e+06	 9.50776e+06	 
0.00981	 1.68105e+06	 9.85382e+06	 
0.00991	 1.76826e+06	 1.01046e+07	 
0.01001	 1.85947e+06	 1.02832e+07	 
0.01011	 1.95374e+06	 1.04093e+07	 
0.01021	 2.04982e+06	 1.04982e+07	 
0.01031	 2.14643e+06	 1.05611e+07	 
0.01041	 2.24228e+06	 1.06063e+07	 
0.01051	 2.33624e+06	 1.06396e+07	 
0.01061	 2.42735e+06	 1.0665e+07	 
0.01071	 2.51487e+06	 1.06853e+07	 
0.01081	 2.59824e+06	 1.07024e+07	 
0.01091	 2.67709e+06	 1.07175e+07	 
0.01101	 2.75121e+06	 1.07314e+07	 
0.01111	 2.82054e+06	 1.07446e+07	 
0.01121	 2.8851e+06	 1.07575e+07	 
0.01131	 2.945e+06	 1.07703e+07	 
0.01141	 3.00041e+06	 1.0783e+07	 
0.01151	 3.05154e+06	 1.07958e+07	 
0.01161	 3.09863e+06	 1.08087e+07	 
0.01171	 3.14193e+06	 1.08216e+07	 
0.01181	 3.18169e+06	 1.08345e+07	 
0.01191	 3.21818e+06	 1.08474e+07	 
0.01201	 3.25163e+06	 1.08603e+07	 
0.01211	 3.28229e+06	 1.08732e+07	 
0.01221	 3.31039e+06	 1.08859e+07	 
0.01231	 3.33613e+06	 1.08985e+07	 
0.01241	 3.35972e+06	 1.0911e+07	 
0.01251	 3.38134e+06	 1.09233e+07	 
0.01261	 3.40117e+06	 1.09353e+07	 
0.01271	 3.41936e+06	 1.09472e+07	 
0.01281	 3.43606e+06	 1.09588e+07	 
0.01291	 3.4514e+06	 1.09701e+07	 
0.01301	 3.4655e+06	 1.09812e+07	 
0.01311	 3.47847e+06	 1.09919e+07	 
0.01321	 3.49041e+06	 1.10024e+07	 
0.01331	 3.50142e+06	 1.10125e+07	 
0.01341	 3.51157e+06	 1.10223e+07	 
0.01351	 3.52094e+06	 1.10318e+07	 
0.01361	 3.5296e+06	 1.10409e+07	 
0.01371	 3.53762e+06	 1.10497e+07	 
0.01381	 3.54504e+06	 1.10582e+07	 
0.01391	 3.55192e+06	 1.10663e+07	 
0.01401	 3.55831e+06	 1.10741e+07	 
0.01411	 3.56424e+06	 1.10815e+07	 
0.01421	 3.56975e+06	 1.10886e+07	 
0.01431	 3.57488e+06	 1.10954e+07	 
0.01441	 3.57966e+06	 1.11018e+07	 
0.01451	 3.58412e+06	 1.11078e+07	 
0.01461	 3.58828e+06	 1.11135e+07	 
0.01471	 3.59216e+06	 1.11189e+07	 
0.01481	 3.59578e+06	 1.1124e+07	 
0.01491	 3.59917e+06	 1.11287e+07	 
0.01501	 3.60234e+06	 1.1133e+07	 
0.01511	 3.60531e+06	 1.11371e+07	 
0.01521	 3.60808e+06	 1.11408e+07	 
0.01531	 3.61068e+06	 1.11442e+07	 
0.01541	 3.61311e+06	 1.11473e+07	 
